,U,V,M
0,1.0,0.0,1.0
1,0.9082823414335615,0.013538365401698829,0.9218207068352603
2,0.8249768117600328,0.025835023627936948,0.8508118353879698
3,0.7493118702137971,0.03700386115347278,0.7863157313672698
4,0.6805867399417486,0.04714831905225749,0.727735058994006
5,0.6181649177029258,0.056362351025139854,0.6745272687280657
6,0.5614682788432983,0.06473129355951314,0.6261995724028114
7,0.5099717229484628,0.07233265627995664,0.5823043792284195
8,0.4631983105845373,0.07923683980976684,0.5424351503943041
9,0.42071484608579357,0.08550778779190989,0.5062226338777035
10,0.38212786547866506,0.09120357910813884,0.4733314445868039
11,0.3470799923839709,0.09637696578116023,0.44345695816513114
12,0.3152466281472558,0.10107586154167326,0.41632248968892904
13,0.2863329455426248,0.10534378558518429,0.3916767311278091
14,0.2600711582070237,0.10922026562848508,0.3692914238355088
15,0.2362180405156137,0.11274120399873479,0.3489592445143485
16,0.2145526749283695,0.11593921014570846,0.33049188507407795
17,0.19487440594477323,0.11884390265680063,0.31371830860157385
18,0.17700098171699297,0.12148218357191996,0.29848316528891294
19,0.16076686610994942,0.12387848753886403,0.28464535364881344
20,0.14602170557528074,0.12605500811674653,0.27207671369202724
21,0.13262893664003814,0.12803190332340394,0.2606608399634421
22,0.12046452111325731,0.12982748233047553,0.2502920034437328
23,0.10941579729642206,0.1314583750352475,0.24087417233166955
24,0.09938043655821417,0.13293968607976464,0.2323201226379788
25,0.09026549560978428,0.1342851347436701,0.22455063035345438
26,0.08198655570311572,0.1355071820064008,0.21749373770951652
27,0.07446694078009906,0.1366171459555363,0.2110840867356354
28,0.06763700733114276,0.13762530661016398,0.20526231394130673
29,0.06143349938628931,0.13854100113009035,0.19997450051637966
30,0.05579896266503612,0.13937271029268697,0.19517167295772309
31,0.050681212458962885,0.140128137038282,0.19080934949724487
32,0.04603285031891859,0.14081427781155256,0.18684712813047116
33,0.041810825070528045,0.1414374873596518,0.18324831243017986
34,0.03797603409232827,0.1420035375872031,0.17997957167953138
35,0.03449296116374067,0.1425176710132524,0.1770106321769931
36,0.03132934752877928,0.14298464932527374,0.17431399685405302
37,0.02845589312902542,0.14340879747991517,0.17186469060894058
38,0.0258459852388144,0.1437940437589276,0.169640028997742
39,0.02347545198936761,0.1441439561512576,0.1676194081406252
40,0.021322338499113972,0.1444617753982597,0.16578411389737366
41,0.01936670353681421,0.1447504450080794,0.16411714854489362
42,0.017590434834267255,0.14501263851718718,0.16260307335145444
43,0.015977081338102734,0.14525078425154825,0.161227865589651
44,0.014511700847046418,0.14546708781675616,0.15997878866380258
45,0.013180721623538711,0.14566355252542362,0.15884427414896232
46,0.01197181669801172,0.14584199795102115,0.15781381464903288
47,0.010873789701683489,0.146004076780001,0.15687786648168447
48,0.00987647117050123,0.1461512901182836,0.15602776128878482
49,0.008970624359843929,0.14628500139386919,0.1552556257537131
50,0.008147859697679984,0.14640644898433416,0.15455430868201414
51,0.007400557083880929,0.14651675768616312,0.15391731477004406
52,0.006721795316060097,0.14661694913214082,0.15333874444820092
53,0.006105287988308214,0.14670795125328506,0.1528132392415933
54,0.005545325269146781,0.1467906068729534,0.15233593214210017
55,0.005036721019471334,0.1468656815127184,0.15190240253218973
56,0.0045747647607130605,0.14693387048230638,0.15150863524301944
57,0.0041551780483682025,0.14699580531926376,0.15115098336763197
58,0.003774074846845209,0.14705205963799167,0.1508261344848369
59,0.003427925538638075,0.14710315444232164,0.15053107998095971
60,0.0031135242344940946,0.14714956295083353,0.15026308718532763
61,0.0028279590818164318,0.14719171497960715,0.15001967406142358
62,0.0025685852963105347,0.14723000092299782,0.14979858621930836
63,0.0023330006671047495,0.1472647753693047,0.14959777603640947
64,0.0021190233084839635,0.1472963603848184,0.14941538369330234
65,0.0019246714521821073,0.14732504849666336,0.14924971994884548
66,0.0017481450930782966,0.14735110540206123,0.14909925049513953
67,0.0015878093183067472,0.14737477242910652,0.14896258174741325
68,0.0014421791653816787,0.14739626877184595,0.1488384479372276
69,0.0013099058690995713,0.1474157935203616,0.14872569938946117
70,0.0011897643698433223,0.14743352750465932,0.14862329187450266
71,0.001080641967595519,0.14744963496944016,0.1485302769370357
72,0.0009815280165790285,0.1474642650952659,0.14844579311184491
73,0.0008915045650810398,0.14747755338020635,0.1483690579452874
74,0.000809737853770516,0.1474896228947657,0.1482993607485362
75,0.0007354705937700708,0.14750058542170963,0.1482360560154797
76,0.0006680149529650119,0.1475105424913503,0.1481785574443153
77,0.0006067461855916912,0.14751958632187734,0.14812633250746904
78,0.0005510968461051038,0.14752780067344395,0.14807889751954906
79,0.0005005515337369945,0.14753526162391825,0.14803581315765524
80,0.0004546421190707979,0.14754203827348436,0.14799668039255515
81,0.00041294340842394054,0.14754819338461936,0.1479611367930433
82,0.000375069205882852,0.14755378396337282,0.14792885316925566
83,0.0003406687365189035,0.14755886178733296,0.14789953052385185
84,0.00030942339765860285,0.1475634738851689,0.14787289728282751
85,0.0002810438081196834,0.14756766297219023,0.14784870678030992
86,0.0002552671280843507,0.14757146784595845,0.1478267349740428
87,0.000231854624787475,0.1475749237456135,0.147806778370401
88,0.00021058946147416773,0.14757806267824394,0.14778865213971812
89,0.00019127468914898995,0.14758091371532311,0.1477721884044721
90,0.00017373142251722097,0.14758350326195693,0.14775723468447416
91,0.0001577971832245249,0.14758585530143672,0.14774365248466126
92,0.00014332439505079225,0.14758799161736258,0.14773131601241338
93,0.00013017901712128238,0.14758993199539375,0.14772011101251503
94,0.00011823930247643789,0.14759169440649517,0.1477099337089716
95,0.00010739467050277016,0.14759329517337694,0.1477006898438797
96,9.754468278174195e-05,0.1475947491216684,0.14769229380445015
97,8.859811287139463e-05,0.14759606971722689,0.1476846678300983
98,8.047210140542531e-05,0.14759726919085286,0.1476777412922583
99,7.30913886845986e-05,0.1475983586515663,0.14767145004025092
